node_tag,floor,coord_x_m,coord_y_m,coord_z_m,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
940,P3,42.191,16.031,15.84,0.096703104959,-0.286582588297,-0.157985492053,0.021335806463,-0.014600344205,-0.004212312295
941,P3,52.191,16.031,15.84,0.08776264998,-0.565984623918,-0.125641465787,0.043614196676,0.012578386889,-0.007146413758
942,P3,62.791,16.031,15.84,0.088747044248,-0.702455646821,-0.177992406945,0.049762531558,0.002775521906,-0.003955192666
943,P3,62.191,16.031,15.84,0.089141269602,-0.646968862921,-0.234319012285,0.045360295529,0.013282300132,-0.003777154914
944,P3,27.191,3.982,15.84,0.056090598221,-0.082576284378,-0.083599292653,-0.007573603331,0.014386491181,-0.001691369313
945,P3,39.991,18.641,15.84,0.113549488906,-0.272993364523,-0.152466224194,0.014279097707,-0.001166497272,-0.009978606827
946,P3,39.391,18.641,15.84,0.113523956188,-0.266047532166,-0.15309660453,0.016531265269,-0.000838219981,-0.012917682459
947,P3,37.791,18.641,15.84,0.113284142748,-0.250187858986,-0.151311954028,0.012375509287,0.003083921595,-0.013018533309
948,P3,37.191,18.641,15.84,0.113293677846,-0.242627430327,-0.149582636768,0.012107878602,0.002660490752,-0.012062213351
949,P3,37.191,19.241,15.84,0.12007543669,-0.24262683031,-0.142276154182,0.012244375264,0.001436453951,-0.01090093417
950,P3,39.991,19.241,15.84,0.119933157979,-0.27299396454,-0.143940776062,0.014141963377,-0.000187292753,-0.010943005376
951,P3,68.341,16.631,15.84,0.091797076431,-0.726998296921,-0.172452035882,0.049919437994,0.005320901193,-0.005959577355
952,P4,42.791,9.381,19.8,0.109799470013,-0.632089289055,-0.301528919065,0.033741637158,0.006956415054,-0.003387745816
953,P4,42.191,9.381,19.8,0.109644713904,-0.319799631009,-0.339036206759,0.014740169602,0.0175786045,-0.004000237305
954,P4,52.791,9.381,19.8,0.104142983634,-0.774079946823,-0.434142443461,0.039630399339,0.006522464126,-0.002615775317
