node_tag,floor,coord_x_m,coord_y_m,coord_z_m,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
620,S1,3.452,-0.299,3.96,0.001435018571,0.0073919941,0.002066973898,-1.7264802e-05,4.3979702e-05,0.000457591219
621,S1,-0.298,-0.299,3.96,0.001442648805,0.005235069863,0.001036990946,0.000174395818,-0.000478749065,0.000840488161
622,S1,0.302,0.301,3.96,0.001074537973,0.005497812437,0.001924340831,9.3799964e-05,-0.000151892709,0.000610515248
623,S1,-0.298,4.116,3.96,-0.000528515771,0.005243101407,0.002135457125,0.000170927617,-0.000853054478,0.000190786215
624,S1,-0.298,11.736,3.96,-0.002735041174,0.005199643529,-0.00177997234,0.000171776704,0.000356678119,0.000283312602
625,S1,-3.348,12.036,3.96,-0.002783101875,0.004709863311,-0.00049182806,0.000183583876,0.000265583027,0.000163870235
626,S1,-3.348,4.416,3.96,-0.000581445589,0.004709992585,-0.000403010117,-0.000143106828,-0.000731494031,0.000223232497
627,S1,-0.298,15.851,3.96,-0.005677328156,0.005199464364,0.002375994384,0.001246855989,-0.00038526674,0.001140276628
628,S1,0.302,12.036,3.96,-0.001940425259,0.00730832642,-0.002220780423,-0.00072510746,-0.000630110201,4.0331465e-05
629,S1,0.302,4.416,3.96,0.0003282118,0.005452668852,0.004794291882,-0.000588527022,0.0005392271,0.000611412383
630,S1,-1.898,16.451,3.96,-0.002180073925,0.005885970196,-0.008075572098,-0.00324031282,-0.000725764194,0.000404187987
631,S1,-1.898,-0.299,3.96,0.001442648805,0.003890288805,0.000270992441,0.000174395818,-0.000478749065,0.000840488161
632,P1,-0.298,16.451,7.92,-0.005870070455,0.01898469908,-0.008113048823,-0.003574973706,-0.000840124241,0.000889756018
633,P1,4.052,16.451,7.92,-0.005870070455,0.022855137756,-0.004458508377,-0.003574973706,-0.000840124241,0.000889756018
634,P1,0.302,15.851,7.92,-0.005183239394,0.019890226207,-0.005824390167,-0.000855259687,-0.000752370229,-0.000175589755
635,P1,3.452,15.851,7.92,-0.005182469351,0.020024090804,-0.003425731605,-0.000748776529,-0.000775663134,0.000486441879
636,P1,12.202,16.451,7.92,-0.005343509165,0.024009935391,-0.001176450983,-0.003564866022,0.000362146771,-0.000557752629
637,P1,12.202,15.851,7.92,-0.005391771773,0.030913920312,8.011536e-06,-0.000438372959,0.00036914226,0.000291201397
638,P1,22.802,16.451,7.92,-0.005332622845,0.025924263498,-0.018158247727,-0.005606713713,0.004594250678,0.000662435336
639,P1,22.202,15.851,7.92,-0.004839442937,0.026998203364,-0.000326157085,-0.001184404168,0.000111824932,0.001216841808
640,P1,22.202,9.201,7.92,0.001772158465,0.026976424666,0.005895490581,-0.001133748694,-0.001843012511,0.000890398813
641,P1,22.202,8.601,7.92,0.001054722534,0.01536471244,-0.000121862454,-0.001179235075,3.988133e-05,-0.001618555954
642,P1,12.202,-0.299,7.92,0.00362656119,0.030843429377,0.001330275194,-0.001104524506,-0.000191625697,0.000308621348
643,P1,12.802,8.601,7.92,0.001310684469,0.031571619056,0.000972947189,-0.000376903879,0.000189202047,-0.000911920593
644,P1,12.802,0.301,7.92,0.004488437181,0.031761839197,0.002472973448,-0.00051700128,0.000639731958,-0.000743065112
645,P1,12.202,8.601,7.92,-0.000715530989,0.030885799323,0.000945343684,-0.000165146843,-3.5774007e-05,0.0009632011
646,P1,22.202,-0.299,7.92,0.003525642422,0.015530698702,0.001836171686,-0.00127047551,-0.000323988974,-0.000473201669
647,P1,22.802,0.301,7.92,0.009162996012,0.015854208201,0.03171150017,-0.006537472742,-0.001845674213,-0.002276815914
649,P1,4.052,11.736,7.92,-0.003785356652,0.020245203202,-0.001527625464,-0.000252697049,-0.000244821814,0.000469907289
650,P1,3.452,12.036,7.92,-0.005552483152,0.019985171118,-0.000254087222,-0.000868513811,-0.000709793974,-0.000107176931
651,P1,4.052,9.201,7.92,-0.001519433881,0.020255291607,-0.000575752742,-0.000582030162,-1.374086e-06,0.001494320729
652,P1,4.052,8.601,7.92,-0.000783771532,0.023140226512,-0.000524830039,-0.000484640942,-0.000330493524,0.000664022035
653,P1,4.052,4.116,7.92,0.001358710506,0.023139017296,0.00017055357,-3.1653071e-05,5.5586946e-05,0.000381911925
654,P1,3.452,8.601,7.92,-0.004253489588,0.019954131346,0.002550308399,-0.000721453815,-0.00051749617,0.001384574245
655,P1,3.452,4.416,7.92,0.000512142277,0.019943270473,0.003519130503,0.000115860391,0.000550812307,0.001282850439
656,P1,4.052,0.301,7.92,0.003048565097,0.02313798872,0.001129207698,-0.000620113128,0.000383992073,0.000569494238
657,P1,3.452,-0.299,7.92,0.003740108597,0.01994999135,0.00220394099,1.6758157e-05,0.000108826106,0.001274984264
658,P1,-0.298,-0.299,7.92,0.003735205272,0.014031149922,0.001344886556,0.000133157416,-0.000488665149,0.002273730068
659,P1,0.302,0.301,7.92,0.002761292925,0.014805930548,0.00222056248,0.000102013339,-0.00012371756,0.001666991558
660,P1,-0.298,4.116,7.92,-0.001982291869,0.014053545428,0.002434700965,0.000177633895,-0.000966454814,0.000746207775
661,P1,-0.298,11.736,7.92,-0.007402535663,0.013961119441,-0.00203195752,0.000150650106,0.000399414118,0.000842591614
662,P1,-3.348,12.036,7.92,-0.007613761929,0.011798989188,-0.000598093382,0.000195860841,0.000291859961,0.000605925997
663,P1,-3.348,4.416,7.92,-0.002205104437,0.011799969137,-0.000472806048,-0.000176560953,-0.000852412381,0.000699027262
664,P1,-0.298,15.851,7.92,-0.014513047668,0.013950090257,0.00220539437,0.001253979898,-0.000322409251,0.00293922385
665,P1,0.302,12.036,7.92,-0.005552098131,0.019894672318,-0.002512278395,-0.000873658212,-0.000721440426,5.1707122e-05
666,P1,0.302,4.416,7.92,0.000514658334,0.014616250236,0.005355935648,-0.000640612402,0.000560903677,0.001709789372
667,P1,-1.898,16.451,7.92,-0.005870070455,0.017561089452,-0.009457247608,-0.003574973706,-0.000840124241,0.000889756018
668,P1,-1.898,-0.299,7.92,0.003735205272,0.010393181813,0.000563022317,0.000133157416,-0.000488665149,0.002273730068
669,P2,-0.298,16.451,11.88,-0.009379322131,0.030870556337,-0.006129008275,-0.003152223935,-0.000586183583,0.001364360869
670,P2,4.052,16.451,11.88,-0.009379322131,0.036805526118,-0.003579109689,-0.003152223935,-0.000586183583,0.001364360869
671,P2,0.302,15.851,11.88,-0.008276340326,0.031668001306,-0.004510967683,-0.000698527591,-0.00057217386,-0.000336439742
672,P2,3.452,15.851,11.88,-0.008275106886,0.031748009639,-0.002694638849,-0.000605685557,-0.000583882441,0.000768333047
673,P2,12.202,16.451,11.88,-0.008703935456,0.039759465139,-0.001254648862,-0.003235101206,0.000247714249,-0.000690581705
674,P2,12.202,15.851,11.88,-0.008699541525,0.04854377202,-0.000226318884,-0.00029376849,0.000247538633,0.000413243846
675,P2,22.802,16.451,11.88,-0.009229052263,0.050026036868,-0.017792014256,-0.005641961096,0.004365474645,0.002208719346
676,P2,22.202,15.851,11.88,-0.007775495093,0.049033093331,-0.012700837505,-0.003012944387,0.003956132422,0.001557166475
677,P2,22.202,9.201,11.88,-0.000534922,0.049028450112,0.005917274046,-0.002877984399,-0.001444270533,0.001579858511
678,P2,22.202,8.601,11.88,0.000879997979,0.047297587145,0.006454427766,-0.000970046553,-0.00180559909,0.001077130755
679,P2,12.202,-0.299,11.88,0.00355458399,0.048426940738,0.001607924099,-0.000976600598,9.7279252e-05,0.00033130141
680,P2,12.802,8.601,11.88,-0.000303566132,0.04939124174,-0.001263145134,-0.000104717098,-0.000221195187,-0.001237475584
681,P2,12.802,0.301,11.88,0.004576353056,0.049671030184,-0.000929992242,-0.000418031456,-0.000114690111,-0.001087811748
682,P2,12.202,8.601,11.88,-0.001801278518,0.048498049514,0.001140817575,-0.000222497193,-3.9253793e-05,0.001332288092
683,P2,22.202,-0.299,11.88,0.004521622688,0.047232663998,0.001867608068,-0.000845855766,0.000110364347,0.001751443109
684,P2,22.802,0.301,11.88,0.001164112397,0.047344753183,0.032649125912,-0.004869783636,-0.002060222663,0.00199403155
686,P2,4.052,11.736,11.88,-0.00652841225,0.032034744153,-0.001424420525,-0.000103591357,-0.000240909208,0.000607406738
687,P2,3.452,12.036,11.88,-0.009046868271,0.031678853426,-3.7645117e-05,-0.000735429496,-0.000553996963,-0.00023254469
688,P2,4.052,9.201,11.88,-0.003057904118,0.03205330828,-0.000890754568,-0.000395468018,-0.00010315185,0.002461680336
689,P2,4.052,8.601,11.88,-0.001883763587,0.037387177489,-0.001097268685,-0.000302315908,-0.000496381915,0.000921984308
690,P2,4.052,4.116,11.88,0.000740567893,0.037385027043,-0.001087126118,0.000110836817,-0.000336001157,0.000412398944
691,P2,3.452,8.601,11.88,-0.007279617769,0.031623340375,0.002309412775,-0.000585759917,-0.000457335145,0.00211412448
692,P2,3.452,4.416,11.88,-0.000354578808,0.031600788424,0.002899199243,0.000166293548,0.00049583396,0.001899910777
693,P2,4.052,0.301,11.88,0.002738889044,0.037383197844,-0.000754234818,-0.000420624688,-0.000199579175,0.000753956345
694,P2,3.452,-0.299,11.88,0.003845807298,0.031608963239,0.001499939014,4.385757e-05,0.000247833325,0.002027249193
695,P2,-0.298,-0.299,11.88,0.003842486092,0.02249584398,0.001509535138,1.820104e-06,-0.000289905365,0.003347920656
696,P2,0.302,0.301,11.88,0.002320293666,0.02357616436,0.001970875885,7.8581865e-05,2.3552177e-05,0.002466805682
697,P2,-0.298,4.116,11.88,-0.004249746125,0.022529935101,0.002135988795,0.000127511081,-0.000823020536,0.001063775833
