step,axial_strain,axial_force_kN,converged
177,-0.002815909090909085,-12161.155729853452,True
178,-0.002831818181818176,-12015.640578338513,True
179,-0.0028477272727272665,-11870.125426823195,True
180,-0.0028636363636363573,-11724.610275307974,True
181,-0.002879545454545448,-11579.095123793008,True
182,-0.0028954545454545387,-11433.579972277756,True
183,-0.0029113636363636295,-11288.06482076264,True
184,-0.00292727272727272,-11142.549669247534,True
185,-0.002943181818181811,-10997.034517732252,True
186,-0.0029590909090909017,-10851.519366217257,True
187,-0.0029749999999999924,-10706.00421470197,True
188,-0.002990909090909083,-10560.489063186817,True
189,-0.003006818181818174,-10414.973911671792,True
190,-0.0030227272727272646,-10269.458760156513,True
191,-0.0030386363636363553,-10123.943608641504,True
192,-0.003054545454545446,-9978.428457126232,True
193,-0.003070454545454537,-9832.913305611024,True
194,-0.0030863636363636275,-9687.398154096045,True
195,-0.0031022727272727183,-9541.883002580764,True
196,-0.003118181818181809,-9396.36785106575,True
197,-0.0031340909090908997,-9250.852699550493,True
198,-0.0031499999999999905,-9105.337548035277,True
199,-0.003165909090909081,-8959.822396520294,True
200,-0.003181818181818172,-8814.307245005002,True
201,-0.0031977272727272627,-8668.792093489983,True
202,-0.0032136363636363534,-8523.276941974755,True
203,-0.003229545454545444,-8377.761790459563,True
204,-0.003245454545454535,-8232.246638944549,True
205,-0.0032613636363636256,-8086.731487429245,True
206,-0.0032772727272727164,-7941.216335914204,True
207,-0.003293181818181807,-7795.701184399018,True
208,-0.003309090909090898,-7650.186032883858,True
209,-0.0033249999999999886,-7504.6708813688,True
210,-0.0033409090909090793,-7359.155729853503,True
211,-0.00335681818181817,-7213.640578338418,True
212,-0.0033727272727272608,-7068.12542682328,True
213,-0.0033886363636363515,-6922.610275308163,True
214,-0.0034045454545454422,-6777.095123793048,True
215,-0.003420454545454533,-6631.579972277774,True
216,-0.0034363636363636237,-6486.064820762638,True
217,-0.0034522727272727144,-6340.5496692475435,True
218,-0.003468181818181805,-6195.034517732419,True
219,-0.003484090909090896,-6049.51936621729,True
220,-0.0034999999999999866,-5904.004214702049,True
