step,curvature_1_per_m,moment_kNm,converged
152,0.026823529411764763,765.3932779591977,True
153,0.02700000000000006,765.4295453115317,True
154,0.027176470588235354,765.4651648011834,True
155,0.02735294117647065,765.5001324473808,True
156,0.027529411764705945,765.5344442237767,True
157,0.02770588235294124,765.5680960576993,True
158,0.027882352941176535,765.6010838293753,True
159,0.02805882352941183,765.6334033711469,True
160,0.028235294117647126,765.665050466661,True
161,0.02841176470588242,765.6960208500494,True
162,0.028588235294117716,765.7263102050849,True
163,0.02876470588235301,765.755914164323,True
164,0.028941176470588307,765.7848283082212,True
165,0.029117647058823602,765.8130481642412,True
166,0.029294117647058898,765.8405692059297,True
167,0.029470588235294193,765.8673868519784,True
168,0.029647058823529488,765.8934964652614,True
169,0.029823529411764783,765.9188933518536,True
170,0.03000000000000008,765.9435727600255,True
171,0.030176470588235374,765.9675298792129,True
172,0.03035294117647067,765.9907598389638,True
173,0.030529411764705965,766.0132577078634,True
174,0.03070588235294126,766.0350184924283,True
175,0.030882352941176555,766.0560371359811,True
176,0.03105882352941185,766.0763085174932,True
177,0.031235294117647146,766.0540358574774,True
178,0.03141176470588244,765.9349536738757,True
179,0.03158823529411773,765.8155561070537,True
180,0.03176470588235302,765.6958413547462,True
181,0.03194117647058831,765.5758075974579,True
182,0.032117647058823605,765.4554529982312,True
183,0.0322941176470589,765.3347757024102,True
184,0.03247058823529419,765.213773837401,True
185,0.03264705882352948,765.0924455124302,True
186,0.03282352941176477,764.970788818294,True
187,0.033000000000000064,764.8488018271054,True
188,0.033176470588235356,764.7264825920411,True
189,0.03335294117647065,764.6038291470746,True
190,0.03352941176470594,764.4808395067159,True
191,0.03370588235294123,764.3575116657357,True
192,0.03388235294117652,764.2338435988917,True
193,0.034058823529411815,764.1098332606483,True
194,0.03423529411764711,763.9854785848894,True
195,0.0344117647058824,763.8607774846288,True
196,0.03458823529411769,763.7357278517125,True
197,0.03476470588235298,763.6103275565184,True
198,0.034941176470588274,763.484574447647,True
199,0.035117647058823566,763.3584663516095,True
200,0.03529411764705886,763.232001072511,True
201,0.03547058823529415,763.1051763917201,True
202,0.03564705882352944,762.9779900675454,True
203,0.03582352941176473,762.8504398348914,True
204,0.036000000000000025,762.7225234049207,True
205,0.03617647058823532,762.5942384647004,True
206,0.03635294117647061,762.465582676847,True
207,0.0365294117647059,762.3365536791637,True
208,0.03670588235294119,762.2071490842679,True
209,0.036882352941176484,762.0773664792152,True
210,0.037058823529411776,761.9472034251148,True
211,0.03723529411764707,761.8166574567359,True
212,0.03741176470588236,761.6857260821089,True
213,0.03758823529411765,761.5544067821185,True
214,0.03776470588235294,761.4226970100834,True
215,0.037941176470588235,761.2905941913392,True
216,0.03811764705882353,761.1580957227984,True
217,0.03829411764705882,761.025198972515,True
218,0.03847058823529411,760.8919012792328,True
219,0.0386470588235294,760.758199951925,True
220,0.038823529411764694,760.6240922693279,True
221,0.038999999999999986,760.4895754794607,True
222,0.03917647058823528,760.3546467991418,True
223,0.03935294117647057,760.2193034134864,True
224,0.03952941176470586,760.0835424754023,True
225,0.03970588235294115,759.9473611050691,True
226,0.039882352941176445,759.8107563894118,True
227,0.04005882352941174,759.6737253815595,True
228,0.04023529411764703,759.5362651002916,True
229,0.04041176470588232,759.3983725294784,True
230,0.04058823529411761,759.2600446175035,True
231,0.040764705882352904,759.1212782766778,True
232,0.040941176470588196,758.9820703826389,True
233,0.04111764705882349,758.8424177737392,True
234,0.04129411764705878,758.7023172504194,True
235,0.04147058823529407,758.5617655745683,True
236,0.04164705882352936,758.4207594688704,True
237,0.041823529411764655,758.2792956161401,True
238,0.04199999999999995,758.137370658633,True
239,0.04217647058823524,757.9949811973568,True
240,0.04235294117647053,757.8521237913503,True
