step,curvature_1_per_m,moment_kNm,converged
0,0.0,0.0,True
1,0.00017647058823529413,26.017378468247202,True
2,0.00035294117647058826,51.996384094742325,True
3,0.0005294117647058824,77.93654904247322,True
4,0.0007058823529411765,103.83739468850992,True
5,0.0008823529411764706,129.69843125206853,True
6,0.0010588235294117648,155.51915740565116,True
7,0.001235294117647059,181.299059868336,True
8,0.0014117647058823533,207.03761298019327,True
9,0.0015882352941176475,232.73427825674136,True
10,0.0017647058823529417,258.3885039222724,True
11,0.0019411764705882359,283.99972442081236,True
12,0.00211764705882353,309.5673599033685,True
13,0.002294117647058824,335.09081569004957,True
14,0.002470588235294118,360.56948170551414,True
15,0.002647058823529412,386.0027318861087,True
16,0.002823529411764706,411.3899235569361,True
17,0.003,436.7303967769379,True
18,0.003176470588235294,462.02347364997246,True
19,0.003352941176470588,487.2684575996714,True
20,0.003529411764705882,512.4646326057172,True
21,0.003705882352941176,537.611262398984,True
22,0.00388235294117647,562.7075896127869,True
23,0.004058823529411764,587.7528348872534,True
24,0.0042352941176470585,608.9114574016202,True
25,0.004411764705882353,615.2870029318827,True
26,0.004588235294117647,621.6515147524398,True
27,0.004764705882352942,628.004904122686,True
28,0.004941176470588236,634.3470809587785,True
29,0.005117647058823531,640.6779538038988,True
30,0.005294117647058825,646.9974297976628,True
31,0.0054705882352941194,653.2974384291649,True
32,0.005647058823529414,659.4655317267242,True
33,0.005823529411764708,665.6243926930903,True
34,0.006000000000000003,671.7739387901632,True
35,0.006176470588235297,677.9140860858105,True
36,0.006352941176470592,684.0447492191794,True
37,0.006529411764705886,690.1658413648842,True
38,0.0067058823529411804,693.68138659668,True
39,0.006882352941176475,695.3205451442751,True
40,0.007058823529411769,696.956207118805,True
41,0.007235294117647064,698.5883519738096,True
42,0.007411764705882358,700.2169589365282,True
43,0.007588235294117653,701.842007004247,True
44,0.007764705882352947,703.4634749405949,True
45,0.007941176470588241,705.0813412717596,True
46,0.008117647058823535,706.6955842826293,True
47,0.008294117647058829,708.3061820128432,True
48,0.008470588235294122,709.9131122527668,True
49,0.008647058823529416,711.5163525393758,True
50,0.00882352941176471,713.1158801520498,True
51,0.009000000000000003,714.7116721082859,True
52,0.009176470588235296,716.3037051593014,True
53,0.00935294117647059,717.8919557855578,True
54,0.009529411764705883,719.4764001921741,True
55,0.009705882352941177,721.0570143042469,True
56,0.00988235294117647,722.6337737620606,True
57,0.010058823529411764,724.2066539161983,True
58,0.010235294117647058,725.7551275698719,True
59,0.010411764705882351,727.1862936700469,True
60,0.010588235294117645,728.6149172891226,True
61,0.010764705882352938,730.0409815556875,True
62,0.010941176470588232,731.4644693871927,True
63,0.011117647058823526,732.8853634860507,True
64,0.011294117647058819,734.3036463356459,True
65,0.011470588235294113,735.7193001962529,True
66,0.011647058823529406,737.1323071008455,True
67,0.0118235294117647,738.5426488508095,True
68,0.011999999999999993,739.9503070115472,True
69,0.012176470588235287,741.3552629079742,True
70,0.01235294117647058,742.7574976199013,True
71,0.012529411764705874,744.1569919773053,True
72,0.012705882352941168,745.5537265554722,True
73,0.012882352941176461,746.9476816700254,True
74,0.013058823529411755,748.3388373718225,True
75,0.013235294117647048,749.7271734417203,True
76,0.013411764705882342,751.1126693852078,True
77,0.013588235294117635,752.4953044268942,True
78,0.013764705882352929,753.8750575048598,True
79,0.013941176470588222,755.2519072648529,True
80,0.014117647058823516,756.625832054333,True
81,0.01429411764705881,756.9268719115195,True
82,0.014470588235294103,757.1300502517572,True
83,0.014647058823529397,757.332183468251,True
84,0.01482352941176469,757.5332666837226,True
85,0.014999999999999984,757.7332949793547,True
86,0.015176470588235277,757.932263394281,True
87,0.015352941176470571,758.1301669250746,True
88,0.015529411764705865,758.3270005252222,True
89,0.01570588235294116,758.5227591045965,True
90,0.015882352941176455,758.7174375289094,True
91,0.01605882352941175,758.9110306191735,True
92,0.016235294117647046,759.1035331511363,True
93,0.01641176470588234,759.2949398547186,True
94,0.016588235294117636,759.4852454134358,True
95,0.01676470588235293,759.6744444638164,True
96,0.016941176470588227,759.8625315948041,True
97,0.017117647058823522,760.0495013471567,True
98,0.017294117647058817,760.2353482128302,True
99,0.017470588235294113,760.4200666343538,True
100,0.017647058823529408,760.603651004198,True
101,0.017823529411764703,760.7860956641246,True
102,0.018,760.967394904537,True
103,0.018176470588235294,761.1475429638058,True
104,0.01835294117647059,761.3265340275973,True
105,0.018529411764705885,761.5043622281783,True
106,0.01870588235294118,761.6810216437201,True
107,0.018882352941176475,761.8565062975775,True
108,0.01905882352941177,762.0308101575713,True
109,0.019235294117647066,762.203927135244,True
110,0.01941176470588236,762.3758510851119,True
111,0.019588235294117656,762.5465758039002,True
112,0.01976470588235295,762.7160950297656,True
113,0.019941176470588247,762.8844024415076,True
114,0.020117647058823542,763.0514916577606,True
115,0.020294117647058837,763.2173562361772,True
116,0.020470588235294133,763.3819896725959,True
117,0.020647058823529428,763.5453854001908,True
118,0.020823529411764723,763.7075367886089,True
119,0.02100000000000002,763.8566641498381,True
120,0.021176470588235314,763.9123376166817,True
121,0.02135294117647061,763.9674731616578,True
122,0.021529411764705905,764.0220679701265,True
123,0.0217058823529412,764.0761191998562,True
124,0.021882352941176495,764.1296239806358,True
125,0.02205882352941179,764.1825794138706,True
126,0.022235294117647086,764.2349825721752,True
127,0.02241176470588238,764.2868304989572,True
128,0.022588235294117676,764.3381202079954,True
129,0.02276470588235297,764.3888486830039,True
130,0.022941176470588267,764.4390128771985,True
131,0.023117647058823562,764.488609712843,True
132,0.023294117647058857,764.5376360807946,True
133,0.023470588235294153,764.5860888400397,True
134,0.023647058823529448,764.6339648172151,True
135,0.023823529411764743,764.6812608061293,True
136,0.02400000000000004,764.7279735672654,True
